,location,noise_events_count,hour,humidity,temp,solar_radiation,rain_intensity,daily_rain_sum,wind_dir,wind_speed,LC_RAD60,LC_TEMP_QCL0,LC_TEMP_QCL1,LC_TEMP_QCL2,LC_TEMP_QCL3,lat,lon,alt,climate_zone,green_cover,building_height,sky_view_factor,installation_height,month,day_of_month,event_Human voice - Shouting,event_Human voice - Singing,event_Transport road - Passenger car,event_Transport road - Siren,event_Unsupported,day_of_week_Friday,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday,formatted_date
1102,MP 01: Naamsestraat 35  Maxim,-0.44810011435876335,-5.760563823075328,0.03905687661593349,-0.6640203446476387,0.0011744343075249413,0.007275086200160509,-0.09886839707334504,-0.037219466067177666,-0.25246782478806473,-0.009819110752035306,-0.21747993709752794,-0.11020112205444295,-0.19918857514515648,-0.2721735926622078,0.9578119626487124,0.7169761630508732,-0.11130038092381941,0.0,0.0,-0.052804735257246084,0.4250863461727281,0.0,-0.7693702239680599,-4.51695184989702,-0.00047912907207732806,-0.0001613689811242428,0.0024609113542012166,-8.72052343622756e-06,4.665703260041788e-06,-0.06514423070226107,-0.0027862441734048593,-0.022609859265824036,-0.06113474240093894,0.04644767270360884,-0.1154310424292119,-0.6589751201522018,07/12/22 02:00
1103,MP 01: Naamsestraat 35  Maxim,-0.4743162876731088,-7.322683433031115,0.49053168016911564,-0.5413666180646209,0.0011120261463799322,-0.0065693429937001965,-0.0939478484879171,-0.039985217593271886,-0.04663813494031911,-0.00959170014771611,-0.11058968584338862,-0.10491845715800516,-0.008935196457661623,-0.13088215326891608,0.2736101837249588,0.7655789710535164,-0.11817860968466071,0.0,0.0,-0.11473074969603672,0.43098881942696704,0.0,-0.5651508844999384,-4.854677237874154,-0.00041067871253808695,-0.00015578740301042403,0.0025861388570721415,-7.84556026517951e-06,-2.1140630674446634e-05,-0.07086082482682972,0.03623126446344706,-0.04104494961554063,-0.07844704373138706,0.025651506802147523,-0.16838904680864833,-0.6687575526513967,07/12/22 03:00
1104,MP 01: Naamsestraat 35  Maxim,-0.3010193823962761,2.334119818876481,-0.31185624766107745,-0.4485895164650572,-0.015027585287177542,-0.0007846049546780584,-0.06277217754964118,-0.40960768224952543,-0.06445340511311409,-0.08093637284016808,-0.10634022362371258,-0.018762738129818143,-0.08819851883412586,-0.20336821862223142,0.07753775998169972,0.07063622534354283,-0.3211292652287506,0.0,0.0,-0.3314538417636021,-0.1355548132380452,0.0,-0.18259118941029945,-1.6791738838674775,-0.000798001489501704,-7.138088302113951e-05,0.002478498626437143,2.5570358401889195e-06,7.689629278928142e-05,-0.014877771086569536,0.011513569317641803,0.0016949104412993428,-0.02014367451378295,0.03135846356761366,-0.00937115202751274,-0.2159028889593738,07/12/22 17:00
1105,MP 01: Naamsestraat 35  Maxim,-0.2614170604975271,4.417619553606314,0.32163383903636616,0.1661264356756358,0.004792685544907026,0.01821219509224401,-0.002163208863418817,1.712450222190619,0.40731607499557443,0.03627042570492232,0.23967748244788498,0.15139011255425133,0.2413370779639337,0.14202520211938766,0.26081302308285864,0.19086497269472813,-0.09866515566934966,0.0,0.0,-0.1332542231140936,-0.02799634782844231,0.0,-0.0018778000222057067,-1.0910907824855418,-0.0007807496417965786,-6.388762015907686e-05,0.0028404149951732115,1.6500512070462321e-06,5.001307538683564e-05,0.0012034976543351657,0.02767826166162675,-0.007151869756074489,0.002761322628222262,0.06711716907648248,-0.014554138450554444,-0.10163224461380517,07/12/22 18:00
1106,MP 01: Naamsestraat 35  Maxim,-0.2893540797771294,3.0821886956868587,-0.21462094544084848,-0.15669503217568076,0.0038890627507865362,0.007565827506531326,-0.07979699543788403,0.2501202295074529,0.04852278290312299,0.00031656013583985295,-0.04823855087339679,-0.043631250080499964,-0.0015437232646179075,-0.1388282686425426,0.2675313812263128,0.19578856246034687,-0.20000746408620929,0.0,0.0,-0.27034316241998146,-0.11025066756660042,0.0,-0.3682901177921462,-1.7808686873291493,-0.0007638733932485277,-7.114208735454694e-05,0.0027060151366706184,-1.9272748608015897e-06,7.17419123715502e-05,-0.009507738604608091,0.015359656329511126,-0.0065281338157667426,-0.014927305452417059,0.04669068277329365,-0.009637265107880646,-0.29131070441666046,07/12/22 19:00
1107,MP 01: Naamsestraat 35  Maxim,-0.29419270464669095,2.079297065716448,-0.5303799421249856,-0.7146943545693336,0.003663789459466168,-0.0016039371893012617,-0.22336532274759205,-0.2785493513676477,-0.3651761250069866,-0.032800439104448846,-0.3621496418724003,-0.3235397765111024,-0.21710483152542417,-0.6440777236089619,0.07602801791410288,0.17045688680698937,-0.3800040057909209,0.0,0.0,-0.41200474601085874,-0.12478597435645641,0.0,-0.9692046508221099,-2.4283692678299786,-0.0007929705784242335,-7.128959223841146e-05,0.002934473371218499,-1.1399813918503644e-06,9.58773238842519e-06,-0.029303248290036873,-0.02636178287113544,-0.019745362195101555,-0.03416162089065102,0.0054474635097719595,-0.02991806706050639,-0.5624448446765261,07/12/22 20:00
1108,MP 01: Naamsestraat 35  Maxim,-0.26740810931267883,2.793381898880927,0.16036865544587267,-0.011119548271039852,0.0005923318826548174,0.011446218559877874,-0.02564600427308875,0.48897589492785515,0.14763447955622458,-0.010541114964315096,0.015163000611251183,0.03459034872355442,0.017866268105192186,-0.058184097433782715,0.19587764014653913,0.19363674804253564,-0.16188067949221693,0.0,0.0,-0.1717378417461395,-0.027654333576785997,0.0,-0.39501673805527293,-1.1581783318002792,-0.0007868192787230685,-7.09012584378637e-05,0.0030196727541207027,-7.221751177316941e-07,8.215221387924615e-05,0.0454185186454273,0.0035340496011560677,0.005320118116248627,-0.019613963792642606,0.031064968690108292,1.8007690743397124e-05,-0.08778427054084778,07/12/22 21:00
1109,MP 01: Naamsestraat 35  Maxim,-0.28917749190108594,2.261787644491297,-0.012088339168403635,-0.11109416533795022,-0.0004880952610641775,0.022616428630133297,0.05756920250212007,0.44566476273901146,0.22694424556243178,-0.013007243129893143,0.03242435882952166,-0.014598600374907778,0.083588698656988,-0.09165902350150802,0.2089720045760977,0.2791320593482697,-0.06938718203621072,0.0,0.0,-0.10264658695758182,-0.00022326865080894194,0.0,-0.33145023090359366,-1.0167770329810246,-0.000736783315807231,-7.155505383719723e-05,0.0026990633821409376,1.5856552336321894e-06,8.356689361110477e-05,0.025879059103535714,-8.990031544252874e-06,0.027773086968124035,0.020723388297771178,0.004849304100935352,-0.024415407094421724,-0.17284430074885554,07/12/22 22:00
1110,MP 01: Naamsestraat 35  Maxim,-0.3288653314053696,-0.22350734249087867,-0.20854785257036482,-0.6862867098586469,0.0010939006303627842,0.036743208284384286,-0.05824648011339048,-0.2851281217553041,0.016306913893338947,-0.007907715298708977,-0.27748631559104625,-0.22609139581129367,-0.16763414369994492,-0.6414667542943695,0.17316572268773006,0.22554360686138908,-0.1839625825857578,0.0,0.0,-0.17502741979440625,-0.10508846161467969,0.0,-0.4481290721117265,-1.5740778149648291,-0.0006341151544153997,-7.195927091035713e-05,0.0029001732522797377,4.5594336233741273e-07,-2.2403803071372865e-05,-0.02817146844334597,-0.022118420079643406,0.02334930694661835,-0.040093219627665745,0.003360341800518407,-0.04289588159131425,-0.3621351517466831,07/12/22 23:00
1111,MP 01: Naamsestraat 35  Maxim,-0.39819587755826613,-2.1241330128580356,0.22479495793677493,-0.40818235693728233,0.0010889629881311457,0.023628142710666437,-0.0624477685809115,-0.2009399008036983,-0.13703000933062895,-0.013855687812716913,-0.14224700343528407,-0.11463813666506083,-0.07808708323060816,-0.7013965956476153,0.3154738642900901,0.42139888375781975,-0.0035092016831380825,0.0,0.0,-0.07934014194057297,0.11194278793317083,0.0,-1.338537651956777,-3.3277113314036693,-0.0005386432720897192,-0.00024022271775841824,0.0024743969945618532,-7.429966177761243e-06,3.103813532353477e-05,-0.004471369859069442,-0.058120426876810724,-0.041831460316363506,-0.048561735182968184,-0.27723166402992283,-0.025170082387345773,0.029292589661659218,08/12/22 00:00
