month,day,hour,weekend,temp,rain,lamax
11,8,20,0,15.786896666666664,0.0,58.85477777777778
11,8,21,0,15.523111666666669,0.0,57.593250000000005
11,8,22,0,15.270253333333336,0.0,53.813472222222224
11,8,23,0,15.004576666666663,0.0,53.921638888888886
11,9,0,0,14.75382,0.0,53.080777777777776
11,9,1,0,14.383163333333334,0.0,50.943333333333335
11,9,2,0,13.983731666666666,0.0,46.79369444444444
11,9,3,0,13.427911666666668,0.0,48.073166666666665
11,9,4,0,13.170523333333334,0.0,44.69811111111112
11,9,5,0,12.787288333333334,0.0,47.223083333333335
11,9,6,0,12.407506666666668,0.0,48.93563888888889
11,9,7,0,12.209378333333332,0.0,53.66183333333333
11,9,8,0,12.367888333333331,0.0,58.4031962201223
11,9,9,0,12.981913333333331,0.0,57.062305555555554
11,9,10,0,13.566285,0.0,57.00277777777778
11,9,11,0,14.00061,0.0,56.95752777777778
11,9,12,0,13.503951666666666,0.0,57.85930555555556
11,9,13,0,12.233236666666668,0.003,60.52911111111111
11,9,14,0,12.84633,0.0,60.286724185917066
11,9,15,0,12.562818333333333,0.0,57.483555555555554
11,9,16,0,11.536645,0.0,57.598194444444445
11,9,17,0,11.045646666666668,0.0,57.08616282300639
11,9,18,0,10.778275,0.0,57.65876632397888
11,9,19,0,10.571881666666666,0.0,57.62772222222222
11,9,20,0,10.357371666666667,0.0,55.95244444444444
11,9,21,0,10.43736,0.0,56.25922222222223
11,9,22,0,10.252355,0.0,54.62308333333333
11,9,23,0,10.050617333333332,0.0,53.73786111111111
11,10,0,0,9.749056833333333,0.0,54.060027777777776
11,10,1,0,9.629493166666666,0.0,51.74980544747081
11,10,2,0,9.660326833333334,0.0,48.09647222222222
11,10,3,0,9.448583,0.0,44.75716666666666
11,10,4,0,8.842198,0.0,46.86512920255627
11,10,5,0,8.540662333333334,0.0,46.489666666666665
11,10,6,0,8.549618,0.0,52.11180555555556
11,10,7,0,8.727041666666667,0.0,62.04330555555556
11,10,8,0,9.228093666666666,0.0,59.74855555555556
11,10,9,0,10.630149166666667,0.0,58.29113888888889
11,10,10,0,12.213918333333334,0.0,60.36146151708808
11,10,11,0,13.50853,0.0,58.83375
11,10,12,0,14.330573333333334,0.0,58.23513888888889
11,10,13,0,14.718148333333334,0.0,59.28388888888889
11,10,14,0,14.626115,0.0,57.72047222222223
11,10,15,0,14.073285,0.0,58.32458333333334
11,10,16,0,13.008591666666668,0.0,58.26991666666667
11,10,17,0,12.129375,0.0,57.73411111111111
11,10,18,0,11.250638333333333,0.0,58.8395
11,10,19,0,10.766673333333332,0.0,58.57666666666667
11,10,20,0,10.421323333333332,0.0,57.96605555555555
11,10,21,0,10.102893333333332,0.0,57.15607113086969
11,10,22,0,9.7003395,0.0,56.74483333333333
11,10,23,0,9.235433666666667,0.0,56.028055555555554
11,11,0,0,8.779205333333334,0.0,58.51438888888889
11,11,1,0,8.639288,0.0,59.24436111111111
11,11,2,0,8.719764666666666,0.0,56.84433333333334
11,11,3,0,8.675873333333334,0.0,53.95923867741039
11,11,4,0,8.184329,0.0,53.329166666666666
11,11,5,0,7.422159333333333,0.0,51.78238888888889
11,11,6,0,6.944605,0.0,49.91008333333333
11,11,7,0,6.4924165,0.0,46.39255555555556
11,11,8,0,7.328251666666667,0.0,47.51755555555556
