month,day,hour,weekend,temp,rain
1,18,2,0,6.174609,0.002
1,18,3,0,6.138916833333333,0.002
1,18,4,0,6.0665115,0.001
1,18,5,0,5.8637835,0.003
1,18,6,0,5.2911945000000005,0.002
1,18,7,0,5.185330666666666,0.002
1,18,8,0,5.564636166666666,0.003
1,18,9,0,6.139827333333334,0.002
1,18,10,0,6.589677999999999,0.0
1,18,11,0,7.186148333333333,0.002
1,18,12,0,7.738034333333334,0.002
1,18,13,0,8.146132333333334,0.002
1,18,14,0,8.124028833333334,0.0
1,18,15,0,8.0181335,0.001
1,18,16,0,7.623463166666667,0.0
1,18,17,0,7.048313666666666,0.0
1,18,18,0,6.5659038333333335,0.0
1,18,19,0,6.048799333333334,0.0
1,18,20,0,5.678302833333333,0.0
1,18,21,0,5.168689,0.0
1,18,22,0,4.048473666666667,0.0
1,18,23,0,3.3340176666666665,0.0
1,19,0,0,2.3031336666666666,0.0
1,19,1,0,1.2959207666666666,0.0
1,19,2,0,0.3135938916666667,0.0
1,19,3,0,-0.011702553999999995,0.0
1,19,4,0,1.2732892,0.0
1,19,5,0,2.4911335,0.0
1,19,6,0,2.9590015,0.0
1,19,7,0,3.2159003333333334,0.0
1,19,8,0,3.5339639999999997,0.0
1,19,9,0,3.727078666666667,0.0
1,19,10,0,4.0241315,0.0
1,19,11,0,4.239370833333333,0.0
1,19,12,0,4.490948500000001,0.0
1,19,13,0,4.736178333333334,0.0
1,19,14,0,4.924341,0.0
1,19,15,0,5.000025666666667,0.0
1,19,16,0,5.274927333333333,0.002
1,19,17,0,5.686209833333333,0.0
1,19,18,0,5.931341833333334,0.001
1,19,19,0,6.448146666666666,0.0
1,19,20,0,6.475255333333333,0.0
1,19,21,0,6.0371318333333335,0.007
1,19,22,0,5.4356465,0.0
1,19,23,0,5.242242833333333,0.0
1,20,0,0,4.930335833333333,0.0
1,20,1,0,4.7782021666666665,0.0
1,20,2,0,4.773088666666667,0.0
1,20,3,0,4.7902205,0.003
1,20,4,0,4.4276151666666665,0.0
1,20,5,0,4.28526,0.004
1,20,6,0,4.214823,0.005
1,20,7,0,4.179555333333333,0.0
1,20,8,0,4.078938999999999,0.0
1,20,9,0,4.4345471666666665,0.0
1,20,10,0,4.7713925,0.0
1,20,11,0,4.83488,0.0
1,20,12,0,5.2553790000000005,0.0
1,20,13,0,5.346932833333334,0.0
1,20,14,0,5.494965333333333,0.0
1,20,15,0,5.538015166666667,0.0
1,20,16,0,4.680589,0.0
1,20,17,0,3.8676341666666665,0.0
1,20,18,0,3.669055666666667,0.0
1,20,19,0,3.6077405000000002,0.0
1,20,20,0,3.6397368333333335,0.0
1,20,21,0,3.29265,0.0
1,20,22,0,3.3043765,0.0
1,20,23,0,2.9537973333333336,0.0
1,21,0,0,2.6940494999999998,0.0
1,21,1,0,2.6805025,0.0
1,21,2,0,2.6686936666666665,0.0
1,21,3,0,2.9449925,0.0
1,21,4,0,2.9042014999999997,0.0
1,21,5,0,2.934039333333333,0.0
1,21,6,0,3.2023286666666664,0.0
1,21,7,0,3.0195061666666665,0.0
1,21,8,0,3.1564680000000003,0.0
1,21,9,0,3.543423,0.0
1,21,10,0,4.593445,0.0
1,21,11,0,5.627897,0.0
1,21,12,0,5.911725166666667,0.0
1,21,13,0,5.948922499999999,0.0
1,21,14,0,6.182996666666667,0.0
1,21,15,0,5.872158833333334,0.0
1,21,16,0,5.840873333333334,0.0
1,21,17,0,5.772732166666667,0.0
1,21,18,0,5.2973425,0.0
1,21,19,0,4.634993499999999,0.0
1,21,20,0,4.282915,0.0
1,21,21,0,4.826420166666666,0.0
1,21,22,0,4.965586833333333,0.0
1,21,23,0,4.8410145,0.0
1,22,0,1,4.695323,0.0
1,22,1,1,4.9692595,0.0
1,22,2,1,4.9329876666666665,0.0
1,22,3,1,5.117174333333334,0.0
1,22,4,1,5.149638499999999,0.0
1,22,5,1,5.285077333333333,0.0
1,22,6,1,5.316396,0.0
1,22,7,1,5.607145833333334,0.0
1,22,8,1,5.922416166666667,0.0
1,22,9,1,6.008711166666667,0.0
1,22,10,1,6.0499366666666665,0.0
1,22,11,1,6.516358,0.0
1,22,12,1,6.557223333333333,0.0
1,22,13,1,6.383602333333333,0.0
1,22,14,1,6.382071166666667,0.0
1,22,15,1,6.218217666666667,0.0
1,22,16,1,6.020035333333333,0.0
1,22,17,1,5.987375,0.0
1,22,18,1,6.042305166666666,0.0
1,22,19,1,5.829111833333333,0.0
1,22,20,1,6.078788666666667,0.0
1,22,21,1,5.828734999999999,0.0
1,22,22,1,5.636403666666666,0.0
1,22,23,1,5.453036333333333,0.0
1,23,0,1,5.233656833333333,0.0
1,23,1,1,5.285094,0.0
1,23,2,1,5.281608,0.0
1,23,3,1,5.265541833333333,0.0
1,23,4,1,5.060537333333333,0.0
1,23,5,1,4.967349,0.0
1,23,6,1,4.878635500000001,0.0
1,23,7,1,4.834056666666666,0.0
1,23,8,1,4.940511,0.0
1,23,9,1,5.112601833333334,0.0
1,23,10,1,5.371267166666667,0.0
1,23,11,1,5.673774333333333,0.0
1,23,12,1,5.956637000000001,0.0
1,23,13,1,6.262678999999999,0.0
1,23,14,1,6.408396,0.0
1,23,15,1,6.311153166666667,0.0
1,23,16,1,6.155038666666667,0.0
1,23,17,1,6.143396,0.0
1,23,18,1,5.949945166666667,0.0
1,23,19,1,5.957568166666667,0.0
1,23,20,1,6.237467333333334,0.0
1,23,21,1,6.082216,0.0
1,23,22,1,5.571953333333333,0.0
1,23,23,1,5.055348666666666,0.0
1,24,0,0,4.656956166666666,0.0
1,24,1,0,4.5701133333333335,0.0
1,24,2,0,4.4812295,0.0
1,24,3,0,4.250954,0.0
1,24,4,0,4.063256,0.0
1,24,5,0,3.913069833333333,0.0
1,24,6,0,4.072076,0.0
1,24,7,0,4.148861,0.0
1,24,8,0,4.183423166666667,0.0
1,24,9,0,3.923348333333333,0.0
1,24,10,0,4.037379166666667,0.0
1,24,11,0,4.607213,0.0
1,24,12,0,5.164083000000001,0.0
1,24,13,0,5.6429203333333335,0.0
1,24,14,0,6.048356000000001,0.0
1,24,15,0,6.031206833333333,0.0
1,24,16,0,5.666531166666666,0.0
1,24,17,0,5.136523,0.0
1,24,18,0,4.506062333333333,0.0
1,24,19,0,3.726538,0.0
1,24,20,0,3.191747,0.0
1,24,21,0,2.6668256666666665,0.0
1,24,22,0,2.178106166666667,0.0
1,24,23,0,1.6154595,0.0
1,25,0,0,1.0934382833333334,0.0
1,25,1,0,0.6888639666666666,0.0
1,25,2,0,0.5266543833333334,0.0
1,25,3,0,0.66782275,0.0
1,25,4,0,1.296319,0.0
1,25,5,0,1.260719,0.0
1,25,6,0,1.1557836666666668,0.0
1,25,7,0,1.1700451666666667,0.0
1,25,8,0,1.3841503333333334,0.0
1,25,9,0,1.5143716666666667,0.0
1,25,10,0,1.7911821666666665,0.0
1,25,11,0,2.170351,0.0
1,25,12,0,2.3074136666666667,0.0
1,25,13,0,2.6170508333333333,0.0
1,25,14,0,2.7476156666666665,0.0
1,25,15,0,2.7972113333333333,0.0
1,25,16,0,2.743536166666667,0.0
1,25,17,0,2.769652333333333,0.0
1,25,18,0,2.665931666666667,0.0
1,25,19,0,2.4563605,0.0
1,25,20,0,2.2110013333333334,0.0
